id,name,full_name,aliases,description,role,nationality,gender
18,Paolo Vella,Paolo Vella,['Vella'],"Agent of the Polizia di Stato based in Palermo. Casual and warm in manner, with an informal Sicilian police register.",minor,Italian,male
19,Anne-Laure Mercier,Anne-Laure Mercier,['Anne-Laure' 'Vivi'],"Villanelle's closest friend in Paris. Pretty, extroverted, and lonely. Former public relations professional, married to Gilles Mercier of the French Treasury. Sexually reckless. Lives on Avenue Kléber. Effusive, gossipy, and affectionate in manner, fond of endearments. Speaks in an upper-class Parisian social register.",supporting,French,female
20,Gilles Mercier,Gilles Mercier,['Gilles'],"Senior functionary at the French Treasury. More than sixteen years older than his wife Anne-Laure. Passions include his wine cellar and ormolu clocks. Lives on Avenue Kléber, Paris.",minor,French,male
21,Eve Polastri,Eve Polastri,['Eve' 'Galina Tagaeva'],"MI5 analyst and head of the P3 section at Thames House. Twenty-nine years old, dark-haired with a make-up-free complexion and shoulder-length hair. Direct, analytical, and tenacious. Known among colleagues as a hunter who will not readily let go. Married to Niko Polastri.",protagonist,British,female
22,Simon Mortimer,Simon Mortimer,['Simon'],"Eve's deputy at P3 in Thames House. In his twenties, with the arch solemnity of a metropolitan vicar. Formal, precise, and diplomatically tactful, with a civil service register.",supporting,British,male
23,Niko Polastri,Niko Polastri,['Niko'],"Eve's husband, around 38-39 years old. Tall, with patient brown eyes and a cavalry officer moustache. Polish ex-chess champion who teaches maths, and a capable hacker. Bridge instructor at the West Hampstead club. Peppers his speech with Polish endearments.",supporting,Polish,male
24,Bill Tregaron,Bill Tregaron,['Bill'],Eve's former head of section at P3. His career ended after the Horvat assassination occurred on his watch. Subsequently seconded to GCHQ in Cheltenham.,mentioned,British,male
25,Nasreen Jilani,Nasreen Jilani,[],Pakistani writer who has received death threats. Scheduled to speak at the Oxford Union.,mentioned,Pakistani,female
26,Reza Mokri,Reza Mokri,[],Iranian nuclear physicist requiring full protection during a UK visit.,mentioned,Iranian,male
27,Viktor Kedrin,Viktor Kedrin,['Kedrin'],"Russian political theorist from St Petersburg State University. Broad, bearded, and charismatic. Advocates anti-American, pro-Eurasian superstate ideology. The ideologist and face of the movement.",minor,Russian,male
28,Irema Beridze,Irema Beridze,['Irema'],Horvat's seventeen-year-old Georgian girlfriend. Heroin addict from Tbilisi.,mentioned,Georgian,female
29,Maria Golovkina,Maria Golovkina,[],Russian female assassin used by the FSB for overseas hits. Former member of Russia's small-bore pistol squad at the Athens Olympics. Trained in covert assassination at the Spetsnaz base in Krasnodar. Found hanged in a hotel wardrobe in Brighton Beach.,mentioned,Russian,female
30,Jelena Markovic,Jelena Markovic,[],Serbian hitwoman attached to the notorious Zemun clan. Killed by a car bomb in Belgrade.,mentioned,Serbian,female
31,Aleksandr Simonov,Aleksandr Simonov,[],Russian business oligarch suspected of funding Chechen and Dagestani militants. Shot outside the Frankfurt headquarters of the AltInvest Bank.,mentioned,Russian,male
32,Mrs Shapiro,,[],Blue-haired secretary of the West Hampstead Bridge Club.,mentioned,,female
33,Maciek,,[],"Niko Polastri's friend from Cracow University. They travelled across Europe in a battered van, competing in bridge, chess, and poker tournaments, retiring with over a million zloty between them.",mentioned,Polish,male
34,Lucy Drake,Lucy Drake,['Julia Fanin'],"Model and aspiring actress with vivid emerald green eyes and an oval, high-cheekboned face framed by a dark glossy bob. Lives in Queen's Park. Her striking resemblance to Villanelle is noted by Luis Martin on a London-bound flight. She is recruited by a man called Peter for a fake TV audition at the St Martin's Lane Hotel, unwittingly used as a decoy for the Kedrin operation: she checks into the Vernon Hotel as Julia Fanin, attends the Conway Hall lecture, then is flown to the Chateau Marmont in Los Angeles while the real killer takes her place. Arrested at Heathrow on a DNA match, she is interrogated at Paddington Green and released when the deception is exposed.",minor,British,female
35,Luis Martín,Luis Martín,[],"Spanish modelling agency owner. Runs Tempest with his wife Elvira, with divisions in Paris, London, Milan and Moscow. Implausibly good-looking, flirtatious and narcissistic.",minor,Spanish,male
36,Sarah,,[],"Gallery owner in Mayfair. Late thirties, wheat-blonde hair in a chignon, wears a black cocktail dress. Meets Villanelle at a private view and invites her to dinner at Nobu. Lives in a flat above the gallery.",minor,British,female
37,Roman Nikonov,Roman Nikonov,[],Eighteen-year-old former pupil at Industrialny District secondary school in Perm. Sexually assaulted Anna Leonova while she waited for a late bus home. Arrested but released on a technicality after police botched the forensics. Castrated by Oxana in the woods by the Mulyanka river.,mentioned,Russian,male
38,Gerald Watts,Gerald Watts,[],Reception manager at the Vernon Hotel on High Holborn. Has worked at the front desk for five years and considers himself an expert on accents. Checks in Villanelle under the Julia Fanin alias.,minor,British,male
39,Vitaly Chuvarov,Vitaly Chuvarov,['Ponytail'],"Political associate of Viktor Kedrin. Distinguished by his ponytail. Serves as master of ceremonies at Kedrin's Conway Hall lecture, introducing him to the audience in accented English.",minor,Russian,male
40,DCI Gary Hurst,Gary Hurst,['Hurst'],Detective Chief Inspector with the Metropolitan Police. Senior investigating officer at the Kedrin murder scene at the Vernon Hotel. Professional with dry humour and a direct manner. Briefs Eve on the four victims and the Julia Fanin alias.,supporting,British,male
41,Richard Edwards,Richard Edwards,[],"Former MI6 station chief in Moscow, now head of the Russia desk. A very senior figure in the Intelligence world. Operates from a cover office at BQ Optics above Goodge Street. Formal, authoritative, and austere in manner. Recruits Eve for a classified solo mission to identify the Kedrin killer, revealing that elements within Thames House and Vauxhall Cross conspired to leave Kedrin unprotected.",supporting,British,male
42,Zhang Lei,Lieutenant Colonel Zhang Lei,['FatPanda'],"Lieutenant Colonel in the People's Liberation Army and leader of the White Dragon crew, an elite cyber-warfare unit operating from Datong Road in Shanghai. A pudgy, bespectacled man who designed the ZeroT remote-access tool and has orchestrated cyber attacks against over 150 military and corporate targets.",minor,Chinese,male
43,Nurse Wu,,[],"Young woman working at a fetish establishment on Dangfeng Road in Pudong. Wears a crisp green and white nurse uniform with starched cap, surgical mask, and transparent plastic apron. Performs medical-themed BDSM sessions with clinical precision and a stern bedside manner.",minor,Chinese,female
44,Mikki Nakamura,Mikki Nakamura,[],"Wife of a Japanese property developer in Shanghai. Stylish and gossipy. Patron of the Aquarium nightclub, which she introduced to Villanelle. Frequents the club on Friday nights, alone.",minor,Japanese,female
45,Janie Chou,Janie Chou,[],"Transgender woman in Shanghai. Willowy, with jasmine flowers in her hair. Speaks in broken, informal English. Works at the Aquarium nightclub for Alice Mao.",minor,Chinese,female
46,Howard,,[],"Young Malaysian man who owns a concept spa in Xintiandi, Shanghai. Part of the Aquarium nightclub social circle.",minor,Malaysian,male
47,Alice Mao,Alice Mao,[],"Eurasian woman with pale glass-green eyes. Owner of the Aquarium nightclub and its building on the North Bund. One of the richest women in Shanghai, with a fortune from the sex trade. Proprietorial manner, cool regard, sharp intelligence.",minor,Chinese,female
48,Jin Qiang,Jin Qiang,[],"MSS (Ministry of State Security) officer. Known to Richard Edwards from Moscow, where Jin was head of station. Quietly spoken figure in a dove-grey suit who speaks English with a faint American accent. At intervals a look of refined melancholy touches his features, with long manicured fingers. Maintains back-channel communications with British intelligence.",supporting,Chinese,male
49,Ken Hung,Ken Hung,[],Former Hong Kong University student who was completing an MA dissertation on the late poetry of Sylvia Plath when he was talent-spotted in a hotel steam room. Chiselled features and a gym-toned body. Known as the most famous porn star in China. Acquaintance of Alice Mao.,minor,Chinese,male
50,Calum Dennis,Calum Dennis,[],Station armourer at Dever Research Station in Hampshire. Responsible for firearms training and range supervision.,minor,British,male
51,Kim,,[],"Franco-Vietnamese dancer at the Paris Opera Ballet, twenty-three years old. Lean and refined features reflecting his mixed heritage, with ivory-coloured skin and precisely defined musculature. Displays a lynx-like elegance.",minor,French,male
52,Lance Pope,Lance Pope,[],"Career MI6 officer and veteran of numerous overseas postings. Experienced agent runner, commended by heads of station. Chronic online gambler, divorced, living alone in a one-room flat in Croydon. Fortyish, lean, with the suspicious features of a stoat. Dry, laconic, and sardonic in manner.",supporting,British,male
53,Billy Primrose,Billy Primrose,['$qeeky'],"Former teenage hacker who used the online handle $qeeky, member of a hacker collective that attacked corporate and government websites. Recruited by MI6's Security Exploitation team after the group was taken down by FBI and Interpol. Asthmatic since childhood, with black-dyed hair, pale complexion, and a deathly back-bedroom pallor. Casual, irreverent in manner.",supporting,British,male
54,Lara Farmanyants,Larissa Farmanyants,['Echo' 'Charlie'],"Former cadet at the Kazan Military Academy. Broad, high-cheekboned features, eyes the colour of slate, with severely cropped hair. A superb shot who competed in the pistol-shooting at the university games, winning bronze. Smart and ambitious, she left the military to work as an operative. Uses they/them pronouns and chose the name Charlie (Lara is their deadname). Self-described as gender non-binary. Admits to having feelings and being jealous of Eve's relationship with Oxana.",supporting,Russian,non_binary
55,Tony Kent,Tony Kent,[],Low-profile venture capitalist. Member of an exclusive fly-fishing syndicate on the River Itchen in Hampshire.,minor,British,male
56,Dennis Cradle,Dennis Cradle,[],"Director of D4 Branch at MI5, responsible for counter-espionage against Russia and China. Tanned, bullish figure of about fifty. Lives in Muswell Hill.",supporting,British,male
57,Penny Cradle,Penny Cradle,[],"Dennis Cradle's wife. Corporate lawyer. Prettyish, well-groomed, about five years younger than her husband.",mentioned,British,female
58,Anton,,[],"Lean man with dark, cold eyes and the patchy beginnings of a beard. Speaks fluent Moscow-accented Russian and English. Identifies himself as a colleague of Konstantin within the Twelve. Commanding and pragmatic in manner.",supporting,Russian,male
59,Rinat Yevtukh,Rinat Yevtukh,[],Head of Zoloty Bratstvo (Golden Brotherhood) mafia gang based in Odessa. Owns a fortified villa in Fontanka.,minor,Ukrainian,male
60,Zbigniew,,['Zbig'],"Niko's old friend from Cracow University. Lectures at King's College London on Roman history, Augustus to Nero. Bear-like in build. Polish classics scholar with a dry wit.",minor,Polish,male
61,Claudia,,[],"Zbig's girlfriend, an educational psychologist.",minor,,female
62,Gabriela Vukovic,Gabriela Vukovic,['Gabi'],Twenty-eight-year-old mistress of Dennis Cradle. Employed at the fitness club and spa at the Hotel du Littoral on the French Riviera.,mentioned,,female
63,Katya Goraya,Katya Goraya,['Katya'],Rinat Yevtukh's twenty-five-year-old lingerie model girlfriend. Demanding and materialistic.,minor,Ukrainian,female
64,Sergei (Cradle recruiter),,[],"Young Russian, about thirty. Wears Brioni suits, speaks flawless English and perfectly accented French. Polished, cultured, and persuasive. Possesses an exceptional grasp of global strategy. Operates as a recruiter for the Twelve.",minor,Russian,male
65,Rem Bakker,Rem Bakker,[],"Poses as a Dutch IT consultant from Delft, with a wife named Gaite. Cover identity for a Twelve recruiter. Knowledgeable about wine and a Federer fan.",mentioned,Dutch,male
66,Marta,,[],"Housekeeper of Villanelle's building in Paris, living on the fifth floor. Keeps several kittens and their mother. Effusive and warm. Fond of the quiet young woman on the sixth floor, considering her a caring person.",minor,French,female
67,Abby,,[],Eve's contact at the Metropolitan Police Forensics Laboratory in Lambeth. A thorough forensic analyst with a professional yet friendly and informal manner.,minor,British,female
68,Max Linder,Max Linder,[],"Franco-Dutch far-right political activist and media celebrity. Twenty-nine years old, gay, with a platinum-blond quiff and orthodontically perfect teeth. Elegant in a high-buttoning Bavarian trachten jacket, he looks less like a politician than a member of a fascistically inclined boy band. His smile has something avid about it — a twist to the lips suggesting a hunger for the extreme. Has a huge following among young Europeans. His association with Nazism makes him a liability for the Twelve.",supporting,Franco-Dutch,male
69,Mark,,[],Eve and Niko's new neighbour. The youngest compliance manager his City bank has ever had. Wears strawberry-coloured trousers and a Guernsey sweater. Socially gauche and insensitive.,minor,British,male
70,Leila,,[],"Zbigniew's girlfriend of several years. British-Jamaican heritage, grandparents born in Jamaica. Spirited, direct, and witty, with a practical streak.",minor,British-Jamaican,female
71,Fiona,,[],"Mark's wife. Works in political public relations for the MP Gareth Wolf. Wears a covetable black Whistles coat. Mirthless smile, defensive and curt in manner.",minor,British,female
72,Gareth Wolf,Gareth Wolf,[],"British MP for whom Fiona works in public relations. Known for persistent lying, rapacious self-interest, open contempt for the less fortunate, an expenses scandal involving his girlfriend's cosmetic surgery, and trade deals with Saudi Arabia.",mentioned,British,male
73,Giovanna Bianchi,Giovanna Bianchi,[],"Director of the Van Diest boutique in Venice on Calle Vallaresso. Elegant woman of indeterminate age, direct and curious in manner. Expert in perfumes, with a mother who worked in a perfumery.",supporting,Italian,female
74,Bianca,,[],Shop assistant at the Van Diest boutique in Venice. Speaks Russian and typically serves Russian-speaking clients.,mentioned,Italian,female
75,Armando Trevisan,Questore Armando Trevisan,[],"Questore (police chief) of Venice, based at the questura in Santa Croce. Lean figure in a dark suit, with economical movements and an attentive air. Half-English: his mother was English and he spent childhood summers in Tunbridge Wells watching Multi-Coloured Swap Shop. Speaks perfect English. Precise, formal yet cordial, and witty.",supporting,Italian,male
76,Umberto Zeni,Umberto Zeni,[],Venetian jewellery designer. His new collection is launched at a reception at Palazzo Forlani.,mentioned,Italian,male
77,Claudio Forlani,Claudio Forlani,[],"Son of the owner of Palazzo Forlani in Venice. Dark-haired, with aquiline features, a broken nose, amused brown eyes, and a sensual, deeply incised mouth. Wears crisp linen shirts and black velvet loafers embroidered with the Forlani family crest. Cultured, seductive, and ironic in manner.",minor,Italian,male
78,Magali Le Meur,Magali Le Meur,[],"Leader of France's Nouvelle Droite party, advocate of pan-European nationalism. Broad, raw-boned features that look older in person than on the campaign posters plastered onto every derelict wall and motorway bridge in France. Beautiful eyes but a thin, intolerant mouth. Wears a thousand-euro Moncler coat and a Cartier diamond watch.",minor,French,female
79,Todd Stanton,Todd Stanton,[],"Former CIA psy-ops officer and expert in the harvesting and manipulation of online personal data. Often described as the dark cardinal of the American far right, widely believed to be the architect of the Republican Party's recent electoral victories. Corpulent frame, florid complexion, wearing a wolfskin coat.",minor,American,male
80,Leonardo Venturi,Leonardo Venturi,[],"Italian political theorist and founder of Lapsit Exillis, described on its website as an initiatory guild for aristocrats of the spirit. Tiny, wild-haired figure sporting a monocle. Explains the guild's mission in exhaustive detail.",minor,Italian,male
81,Inka Järvi,Inka Järvi,[],Statuesque leader of Finland's Daughters of Odin.,minor,Finnish,female
82,Richard Baggot,Richard Baggot,[],"Leader of the UK Patriots Party. Paunchy figure with a crocodile grin, wearing a loud tweed suit at the Felsnadel gathering.",minor,British,male
83,Silas Orr-Hadow,Silas Orr-Hadow,[],Upper-caste Tory whose family has furnished England with several generations of fascist sympathisers. Pencil-thin. Wears lederhosen and white knee socks at the Felsnadel.,minor,British,male
84,Johanna,,[],"Temporary worker from a local Innsbruck personnel agency at the Felsnadel. Close-set eyes, freckles, and a substantial bust zipped into a pink quilted jacket. Chatty and gossipy, reminds Villanelle of Khriusha the Pig from a Russian children's TV series.",minor,Austrian,female
85,Klaus Lorenz,Klaus Lorenz,[],"Bassist of Panzerdämmerung, one of the two Lorenz brothers. Sharply handsome, outfitted in a black uniform with a distinctly military edge.",minor,German,male
86,Peter Lorenz,Peter Lorenz,[],"Drummer of Panzerdämmerung, brother of Klaus. Sharply handsome, outfitted in a black uniform with a military edge.",minor,German,male
87,Petra Voss,Petra Voss,[],"Lead singer and guitarist of Panzerdämmerung. Imperious and pantherine, with a severe bob of dark hair. Performs in a white blouse, calf-length skirt, and boots, carrying a blood-red Fender Stratocaster guitar slung like an assault rifle. Her singing voice can shift from soft and picking to steely and insinuating. During the Felsnadel torch ceremony she stares straight at Villanelle, expressionless.",minor,German,female
88,Birgit,,[],"Manager employed by Max Linder at the Felsnadel. Severely dressed woman in her forties. Enforces fetishistically precise rules on hairstyles, make-up, and perfume. Inspects the staff's fingernails, teeth, and hygiene. Authoritarian, brusque, and controlling, with a formal register. Maria describes her as a fucking Nazi, basically, like Linder. Rumoured to have whipped a girl once for wearing mascara.",supporting,Austrian,female
89,Maria,,[],"Villanelle's Polish roommate at the Felsnadel. Pale and young, wearing a tracksuit and woollen beanie. Tired and resigned but supportive. Warns Villanelle that Johanna is a spy for Birgit and recites the house rules.",minor,Polish,female
90,Sim Henderson,Sim Henderson,[],Russian-speaking investigator in the Economic Crimes department of the City of London Police. Explains the structure of Russian private military companies (ChVKs) and the deniable operations arm SF12 to Billy Primrose.,mentioned,British,male
91,Yuri Modin,Yuri Modin,[],"Historical figure. Former KGB handler of the Cambridge spies (Philby, Burgess, Maclean, Blunt). Guest lecturer at the Andropov Academy, where he taught the Active Measures course covering subversion, disinformation, and assassination. Konstantin Orlov was his protégé. Wrote a book about the Cambridge spies. Richard Edwards met him at a party in Moscow.",mentioned,Russian,male
92,Oleg,,[],"Russian contact sent by Richard Edwards to arrange logistics for Eve's Moscow trip. In his late thirties, forty at a push, with skin that hasn't seen the sun in months and an expressionless voice. Handles visas and travel arrangements with brisk efficiency. Speaks basic English with a direct, informal manner. Meets Eve on the platform at Goodge Street station.",minor,Russian,male
93,Vadim Tikhomirov,Vadim Tikhomirov,[],"FSB general who became the sitting Russian president. Broad-shouldered, silver-haired, mid-fifties with a buzz-cut and a wry urbane smile. His regime is widely viewed as bullying and corrupt. Faces a major threat from opposition candidate Anna Volkonskaya. Previously helped Eve escape from Russia after the VDNKh Metro station incident and discreetly alerted her that Richard Edwards was an asset of the Twelve.",supporting,Russian,male
94,Amanda Edwards,Amanda Edwards,[],Wife of Richard Edwards. Artist working in watercolours and drawings. Exhibits at a gallery in Chiswick overlooking the Thames.,minor,British,female
95,Chloe Edwards,Chloe Edwards,[],"Daughter of Richard and Amanda Edwards. Long-lashed eyes and her mother's bone structure. Aspiring actress auditioning for drama school in the New Year. Exuberant and friendly, with direct colloquial language. Gives Eve a card with an embossed skull and crossbones. As a teenager, became infatuated with a charming older Russian who visited their house in Saint-Remy-de-Provence.",minor,British,female
96,Colin Dye,Colin Dye,[],"Shop assistant at Whitlock and Jones medical supplies on Welbeck Street, London. Fond of making puns on his surname. Informal in manner.",minor,British,male
97,Igor,,[],Russian deckhand on the container ship Kirovo-Chepetsk. Has an aunt named Galya who drives a tram in Smolensk. Agrees to smuggle Eve and Villanelle from Immingham to St Petersburg in exchange for the Ducati motorcycle and a photograph of Eve's breasts.,minor,Russian,male
98,Dasha Kvariani,Dasha Kvariani,['Necksnapper'],"Georgian-Russian woman with cool green eyes and lustrous chestnut hair cut in a chin-length bob. Known as Necksnapper from the Dobryanka penal colony, where she was an inmate alongside Villanelle. Wears a black shearling jacket. Her father was a respected gang leader in the vorovskoy mir of St Petersburg. Convicted for breaking a man's neck on the St Petersburg Metro after he groped her; tried in Perm, 1500 kilometres from home. Direct and menacing, she works as head of security for the owner of the Prekrasnaya Nevesta warehouse. Speaks fluent Russian and rudimentary English with intentional grammatical errors.",supporting,Russian,female
99,Gennadi Kvariani,Gennadi Kvariani,[],"Father of Dasha Kvariani. Former leader of a Kupchino Bratva brigade that controlled the heroin trade in St Petersburg. So powerful that local prosecutors did not dare try Dasha in a local court, sending her 1500 kilometres to Perm instead. Retired, passing the brigade leadership to his daughter.",mentioned,Russian,male
100,Kristina,,['Kris'],"Young woman living in Dasha Kvariani's apartment in Avtovo, Dasha's partner. Tall and long-legged, with hair the colour of wheat and a gentle, hesitant manner. Known as Kris. An unlikely member of a gangster household. Rarely speaks, and when she does it is so quietly that others strain to hear her. Kind and perceptive, with a rare shy smile. Possesses an uncanny ability to recognise professional killers on sight.",supporting,Russian,female
101,Asmat Dzabrati,Asmat Dzabrati,['Pakhan'],"Pakhan (supreme boss) of the Kupchino Bratva in St Petersburg. Short, with thinning hair and mild, rabbity eyes. The least remarkable-looking man in the room, yet immediately the centre of attention. Wields the kind of power that doesn't proclaim itself but is evident in the demeanour of others. A gangster of the old school, known in his younger days for dispatching rivals with an axe. Dasha's boss, to whom the four brigadiers report.",supporting,Russian,male
102,Angelina,,[],"Wife of Pavel, a boyevik in Dasha Kvariani's brigade. Nervous eyes and hair the colour of burnt caramel. Pragmatic and materialistic, decorates her décolletage with tiny gold stars. Conversations revolve around clothes, children, and unfaithful husbands.",minor,Russian,female
103,Pavel,,[],Husband of Angelina. Boyevik (soldier) in Dasha Kvariani's brigade of the Kupchino Bratva. Says he doesn't mind working for a woman because she's clever like a man.,minor,Russian,male
104,Yelena,,[],"Ex-wife of Pakhan Asmat Dzabrati. Lives in one of his apartments in the building on Malaya Balkanskaya Ulitsa, near Kupchino metro station. Disapproves of the Pakhan's relationship with his young mistress Zoya.",mentioned,Russian,female
105,Rushana,,[],Sister of Pakhan Asmat Dzabrati. Lives with her husband in the building on Malaya Balkanskaya Ulitsa. Acts as hostess when the Pakhan receives bratva members and their families.,mentioned,Russian,female
106,Zoya,,[],"Twenty-four-year-old Ukrainian woman, the Pakhan Asmat Dzabrati's sugar baby. Met him through an introduction agency. Lives in a small apartment behind the Fruzensky department store in St Petersburg, leased by the Pakhan. Gets Botox shots at a clinic on Nevsky Prospekt. The Pakhan's family and ex-wife refuse to acknowledge her.",mentioned,Ukrainian,female
107,Nadezhda Vorontsova,Nadezhda Vorontsova,['Nadezhda'],"Mother of Villanelle/Oxana. Raised on a farm near Novozybkov; her family was originally from Chuvashia. Very beautiful in the Chuvash manner, with a high forehead, long dark hair, and an expression of surprise given by the arch of her eyebrows. At fifteen, the Chernobyl disaster contaminated her village (150km away); she was evacuated and the area became a Closed Zone. She moved to Perm, married Boris Vorontsov at twenty-two. Suffered from an illness, probably radiation-related, spending entire days in bed. Took young Oxana to the Kungur ice caves as a special outing. Died a few weeks later.",mentioned,Russian,female
108,Dima,,[],Assistant to FSB General Vadim Tikhomirov. Handsome young man in a winter camouflage uniform. Present at the armoured truck during Tikhomirov's secret roadside meeting with Eve.,minor,Russian,male
109,Nobby,,[],"Former sniper section leader in E Squadron (MI6 black operations). Now an instructor and watchdog at Knock Tom. Trains Villanelle/Oxana and Anton. Tells anecdotes about women from the clubs on Brentwood High Street. Prepares meals in the platform canteen — warm baked beans and luncheon meat. Informal and comradely in manner, with barrack-room humour.",minor,British,male
110,Ginge,,[],"Former sniper section leader in E Squadron. Stocky, balding Welshman with a twinkling, mischievous smile. Instructor at Knock Tom for Charlie and Eve. Expert in ballistics — range, wind, drag, spin-drift, and the Coriolis effect. Calls Charlie Charlie-girl until corrected. Compares teams with Nobby: concedes Oxana may be more of a natural marksman but backs Charlie long-term. Pragmatic and cheerful, mixing Welsh-accented military slang with good-natured banter.",minor,British,male
111,Valery Stechkin,Valery Stechkin,[],"President of the Russian Federation. Presides like a latter-day Roman emperor over a sclerotic and corrupt state. Possesses kompromat on Ronald Loy that has allowed him to steer the White House. Rouged, powdered appearance.",minor,Russian,male
112,Ronald Loy,Ronald Loy,[],"President of the United States of America. Subject of kompromat held by Stechkin: video of him watching sex workers in a hotel suite. Tiny, childlike hands. Disdainful expression. Rouged, powdered appearance.",minor,American,male
113,Inna Lapotnikova,Inna Lapotnikova,[],"Customs officer at Sheremetyevo Airport. Older woman with tiny, granite eyes. Expressionless and professional. Silently takes Eve's concealed message from her passport and leaves the room to presumably forward it to Tikhomirov.",minor,Russian,female
114,Tolya,,[],Paramilitary operative of the Twelve. Hard-eyed young man carrying a sub-machine gun slung over his leather jacket. Brings up the rear as armed escort during the underground tunnel journey.,minor,Russian,male
